freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	1993-01 	1993-02 	1993-03 	1993-04 	1993-05 	1993-06 	1993-07 	1993-08 	1993-09 	1993-10 	1993-11 	1993-12 	1994-01 	1994-02 	1994-03 	1994-04 	1994-05 	1994-06 	1994-07 	1994-08 	1994-09 	1994-10 	1994-11 	1994-12 	1995-01 	1995-02 	1995-03 	1995-04 	1995-05 	1995-06 	1995-07 	1995-08 	1995-09 	1995-10 	1995-11 	1995-12 	1996-01 	1996-02 	1996-03 	1996-04 	1996-05 	1996-06 	1996-07 	1996-08 	1996-09 	1996-10 	1996-11 	1996-12 	1997-01 	1997-02 	1997-03 	1997-04 	1997-05 	1997-06 	1997-07 	1997-08 	1997-09 	1997-10 	1997-11 	1997-12 	1998-01 	1998-02 	1998-03 	1998-04 	1998-05 	1998-06 	1998-07 	1998-08 	1998-09 	1998-10 	1998-11 	1998-12 	1999-01 	1999-02 	1999-03 	1999-04 	1999-05 	1999-06 	1999-07 	1999-08 	1999-09 	1999-10 	1999-11 	1999-12 	2000-01 	2000-02 	2000-03 	2000-04 	2000-05 	2000-06 	2000-07 	2000-08 	2000-09 	2000-10 	2000-11 	2000-12 	2001-01 	2001-02 	2001-03 	2001-04 	2001-05 	2001-06 	2001-07 	2001-08 	2001-09 	2001-10 	2001-11 	2001-12 	2002-01 	2002-02 	2002-03 	2002-04 	2002-05 	2002-06 	2002-07 	2002-08 	2002-09 	2002-10 	2002-11 	2002-12 	2003-01 	2003-02 	2003-03 	2003-04 	2003-05 	2003-06 	2003-07 	2003-08 	2003-09 	2003-10 	2003-11 	2003-12 	2004-01 	2004-02 	2004-03 	2004-04 	2004-05 	2004-06 	2004-07 	2004-08 	2004-09 	2004-10 	2004-11 	2004-12 	2005-01 	2005-02 	2005-03 	2005-04 	2005-05 	2005-06 	2005-07 	2005-08 	2005-09 	2005-10 	2005-11 	2005-12 	2006-01 	2006-02 	2006-03 	2006-04 	2006-05 	2006-06 	2006-07 	2006-08 	2006-09 	2006-10 	2006-11 	2006-12 	2007-01 	2007-02 	2007-03 	2007-04 	2007-05 	2007-06 	2007-07 	2007-08 	2007-09 	2007-10 	2007-11 	2007-12 	2008-01 	2008-02 	2008-03 	2008-04 	2008-05 	2008-06 	2008-07 	2008-08 	2008-09 	2008-10 	2008-11 	2008-12 	2009-01 	2009-02 	2009-03 	2009-04 	2009-05 	2009-06 	2009-07 	2009-08 	2009-09 	2009-10 	2009-11 	2009-12 	2010-01 	2010-02 	2010-03 	2010-04 	2010-05 	2010-06 	2010-07 	2010-08 	2010-09 	2010-10 	2010-11 	2010-12 	2011-01 	2011-02 	2011-03 	2011-04 	2011-05 	2011-06 	2011-07 	2011-08 	2011-09 	2011-10 	2011-11 	2011-12 	2012-01 	2012-02 	2012-03 	2012-04 	2012-05 	2012-06 	2012-07 	2012-08 	2012-09 	2012-10 	2012-11 	2012-12 	2013-01 	2013-02 	2013-03 	2013-04 	2013-05 	2013-06 	2013-07 	2013-08 	2013-09 	2013-10 	2013-11 	2013-12 	2014-01 	2014-02 	2014-03 	2014-04 	2014-05 	2014-06 	2014-07 	2014-08 	2014-09 	2014-10 	2014-11 	2014-12 	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 
M,PAS,PAS_CRD,TOTAL,TOT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	922533 	955778 	1170101 	1127261 	1297798 	1473653 	1541140 	1566658 	1497293 	1299033 	1048688 	1043829 	1064226 	1051790 	1169401 	1124827 	1257704 	1508723 	1608902 	1671281 	1567715 	1407540 	1171212 	1195331 	1199132 	1218986 	1346655 	1429080 	1582546 	1719314 	1912868 	1889080 	1817173 	1578132 	1293256 	1310390 	1305690 	1276452 	1524609 	1494534 	1730998 	1848362 	2081151 	1984823 	1956124 	1681956 	1384661 	1415462 	1429165 	1400385 	1601234 	1677498 	1791334 	1964460 	2131217 	2058357 	2018864 	1759013 	1457363 	1535643 	1540876 	1547059 	1830259 	1801215 	1920593 	2105868 	2270779 	2241718 	2180739 	1977355 	1753531 	1756112 	1722051 	1807226 	2113381 	1955301 	2139815 	2233935 	2323552 	2307779 	2182811 	1936078 	1584923 	1592732 	1553484 	1516246 	1741349 	1782854 	1856949 	1966868 	2177365 	2122960 	2030273 	1873276 	1575004 	1620639 	1616764 	1594077 	1908254 	1624357 	2080848 	2151684 	2401499 	2356612 	2280317 	2085698 	1740819 	1691526 	1711330 	1667770 	1977449 	2015846 	2192972 	2279147 	2553335 	2461844 	2442374 	2169417 	1825947 	1840181 	1801994 	1810625 	2133740 	2144869 	2253364 	2394370 	2545147 	2493086 	2502746 	2215188 	1827408 	1843440 	1762653 	1733910 	2150535 	2029996 	2239011 	2408193 	2513804 	2537606 	2451674 	2230866 	1817948 	1873528 	1807004 	1779141 	2108523 	2189347 	2330573 	2483100 	2571197 	2645521 	2519181 	2267695 	1806834 	1870560 	1751044 	1718104 	2100017 	2182653 	2363428 	2520214 	2739213 	2775665 	2622134 	2279362 	1843174 	1858999 	1770425 	1780026 	2151897 	2099280 	2373298 	2450672 	2776608 	2723254 	2665489 	2398405 	1946072 	2046085 	1887141 	1867912 	2198600 	2425716 	2497696 	2614609 	2871073 	2807833 	2734285 	2424628 	1947157 	2050629 	1905331 	1937152 	2404430 	2442085 	2585884 	2822571 	3085491 	3143286 	3028317 	2842107 	2396286 	2545477 	2285034 	2349892 	2871838 	2978376 	3038394 	3314289 	3504875 	3511121 	3306004 	3095301 	2591272 	2797792 	2559973 	2536893 	1006487 	12868 	21197 	141631 	612959 	854823 	604214 	403375 	182929 	231082 	: 
M,PAS,PAS_CRD,TOTAL,TOT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79679 	859325 	1076168 	1178498 	1297000 	1299633 	1531905 	1497043 	1451559 	1329962 	1019750 	938440 	904519 	917218 	1099772 	1269341 	1315159 	1435306 	1641521 	1611542 	1477390 	1364402 	1070423 	989286 	1048044 	1126142 	1290226 	1509387 	1577769 	1573427 	1883096 	1773196 	1712633 	1527263 	1278950 	1168370 	1025928 	1135868 	1307341 	1518784 	1624533 	1647288 	1935586 	1828391 	1753405 	1561327 	1301438 	1174054 	1148009 	1174598 	1417005 	1677807 	1775790 	1778551 	2056803 	1929181 	1859267 	1689298 	1392535 	1255829 	1226617 	1250092 	1554827 	1742340 	1837109 	1882832 	2233117 	2124836 	2035728 	1865508 	1584963 	1467486 	1386698 	1475935 	1734538 	1889593 	2025893 	2023912 	2326377 	2232114 	2084813 	1886223 	1521292 	1396295 	1242075 	1269093 	1537116 	1874276 	1921654 	1954362 	2304139 	2236463 	2031472 	1880843 	1593582 	1471615 	1337584 	1397881 	1678130 	1544861 	2078077 	2093415 	2487914 	2407821 	2217019 	2141503 	1757811 	1555748 	1501419 	1472013 	1870073 	2141705 	2282020 	2303327 	2709542 	2571801 	2507760 	2259696 	1810841 	1672498 	1534946 	1586685 	1906186 	2236235 	2353375 	2408452 	2828842 	2712545 	2555419 	2276696 	1829209 	1690925 	1554914 	1555965 	1932190 	2261127 	2408826 	2460324 	2835828 	2785575 	2593195 	2342300 	1864727 	1794956 	1638700 	1608226 	2004797 	2505099 	2619815 	2683507 	3065902 	3103037 	2872608 	2618148 	2107419 	1949000 	1817576 	1856334 	2209413 	2660132 	2859581 	2855538 	3281630 	3260405 	3043615 	2823646 	2238354 	2052617 	1966259 	2089083 	1936776 	2005251 	2703577 	2736786 	3213462 	3133437 	2990813 	2767036 	2318544 	2254808 	2064270 	2083035 	2462550 	2891115 	2983022 	2986272 	3468159 	3408657 	3202473 	2982388 	2422231 	2306321 	2190383 	2194321 	2590913 	3062128 	3092460 	3110741 	3555992 	3496343 	3259277 	2992470 	2540218 	2421063 	2253327 	2187148 	2643934 	3107492 	3102755 	3257996 	3650171 	3570657 	3325409 	3120567 	2611508 	2554224 	2340520 	2345828 	1058082 	17596 	22975 	109685 	795201 	935379 	580349 	472460 	324998 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	219940 	195346 	229114 	237480 	416286 	858324 	1163949 	1163998 	815091 	319476 	207164 	246189 	240868 	239511 	275083 	269281 	472013 	888061 	1152527 	1205260 	829599 	352803 	232781 	260205 	273223 	239638 	260743 	273385 	414321 	777707 	1041931 	1072533 	688883 	312347 	226626 	259488 	273780 	242626 	273116 	245311 	424416 	794101 	1147747 	1168521 	733968 	348654 	247081 	270002 	281190 	255290 	288958 	315771 	452652 	872497 	1261908 	1257769 	806260 	339600 	245788 	274324 	276870 	248309 	288098 	318565 	438227 	946489 	1337258 	1306449 	795693 	333363 	253041 	276741 	279656 	252029 	294684 	309296 	479412 	983674 	1349921 	1360860 	844583 	356604 	271842 	296731 	298853 	274571 	314591 	350849 	511137 	1080830 	1396172 	1452946 	852992 	383929 	290550 	313277 	311991 	286718 	324201 	362523 	501317 	975825 	1390599 	1452396 	921961 	427016 	315488 	340914 	352207 	334689 	366203 	411154 	622014 	1171437 	1699632 	1684644 	1172583 	562726 	452109 	494819 	493259 	480657 	544316 	615682 	767812 	1384824 	1902159 	1882109 	1304988 	670632 	507080 	539133 	544718 	509648 	609762 	704504 	918353 	1569255 	2050117 	1998177 	1400679 	735296 	529720 	567485 	570956 	536254 	618037 	678527 	877009 	1455157 	1866085 	1885574 	1290977 	717317 	584000 	633175 	620438 	596013 	293130 	29572 	77248 	156857 	438020 	543762 	404993 	267838 	134256 	166890 	: 
M,PAS,PAS_CRD,TOTAL,TOT,CH	1338447 	1216021 	1403092 	1538027 	1548424 	1551152 	1789519 	1751247 	1709595 	1754990 	1237592 	1301734 	1396350 	1269124 	1573372 	1620582 	1628018 	1656824 	1954147 	1849682 	1801741 	1870487 	1323167 	1413840 	1444205 	1311831 	1617420 	1783929 	1709864 	1785752 	2008394 	1927468 	1946424 	2051859 	1425503 	1488703 	1465134 	1448956 	1767027 	1789292 	1799654 	1877495 	2041640 	2052332 	1992942 	2034477 	1504936 	1555154 	1559132 	1523962 	1919826 	1918637 	2000985 	2052443 	2296555 	2331858 	2220137 	2222394 	1649161 	1680580 	1702214 	1630026 	1970854 	2125685 	2092520 	2188937 	2422560 	2422024 	2315559 	2303968 	1756503 	1810770 	1911549 	1792892 	2198779 	2157983 	2234179 	2275050 	2632226 	2624085 	2497685 	2738864 	1984426 	1960126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1972908 	1975474 	2222102 	2240477 	2112621 	2249176 	2553228 	2459186 	2375166 	2451180 	1902085 	2054285 	2188647 	2069842 	2519743 	2387613 	2347629 	2433265 	2826645 	2678630 	2555870 	2596525 	2041214 	2230702 	2297852 	2229366 	2647872 	2706519 	2643207 	2764107 	3053600 	2948475 	2850288 	2862370 	2279527 	2546470 	2529280 	2490465 	2999644 	2897957 	2808333 	2944037 	3325140 	3219278 	3061745 	3089274 	2484738 	2687807 	2681772 	2780846 	3306070 	3034362 	3132110 	3156183 	3516853 	3481984 	3177284 	3196988 	2488567 	2642716 	2633310 	2524434 	2928961 	3047449 	2950766 	3109528 	3476008 	3435023 	3150301 	3284448 	2599284 	2788657 	2785005 	2715644 	3201375 	2606965 	3118248 	3212916 	3709175 	3618005 	3416506 	3567398 	2795241 	2869481 	3061425 	2934135 	3386536 	3450976 	3458412 	3599495 	4129196 	3869388 	3688245 	3766686 	2910281 	3185073 	3145106 	3135106 	3624391 	3681223 	3633333 	3766339 	4239321 	4091271 	3860268 	3822673 	3017753 	3219302 	3161475 	3144838 	3788887 	3724740 	3803698 	3873201 	4312013 	4256793 	3935600 	3913911 	3024018 	3278394 	3238296 	3172123 	3760274 	3906753 	3869086 	4096298 	4497861 	4603622 	4185618 	4205245 	3148870 	3443380 	3337185 	3280428 	3889314 	4048758 	4141957 	4161984 	4790693 	4805848 	4362164 	4375051 	3310528 	3522465 	3491008 	3543955 	4085372 	4107853 	4347627 	4305416 	5079927 	4978179 	4568881 	4678885 	3453343 	3865046 	3716220 	3703479 	4314174 	4652715 	4495142 	4719822 	5354150 	5247904 	4874610 	4875555 	3596127 	4015045 	3831561 	3840283 	4561918 	4864104 	4788200 	4907137 	5535996 	5519264 	5094674 	5123223 	3828687 	4244502 	3990345 	3958347 	4710650 	4948984 	4853106 	5160769 	5621555 	5585170 	5108332 	5101639 	3829064 	4326367 	4076384 	3968157 	1790567 	30665 	56059 	276354 	1276911 	1620194 	1042186 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60289 	72092 	110355 	142727 	166546 	178276 	176080 	191046 	198132 	725863 	358454 	280911 	271907 	249254 	393344 	505740 	691181 	716758 	857922 	950424 	752843 	764309 	354038 	274801 	271778 	238505 	334965 	556059 	677877 	707028 	903067 	908937 	755540 	746873 	339678 	273795 	272765 	252100 	363519 	539168 	653106 	724139 	907289 	985735 	841408 	775937 	363732 	325417 	278581 	279810 	384602 	529463 	693103 	800321 	929745 	1018344 	824113 	764407 	392637 	322958 	274360 	249101 	336373 	559625 	641753 	714840 	860358 	926662 	779469 	700898 	370990 	315358 	278911 	258954 	387542 	462592 	672133 	758152 	889878 	982499 	824678 	760881 	374529 	297539 	274777 	256350 	350331 	569003 	697392 	798809 	969820 	1015203 	837728 	770287 	363486 	287201 	264784 	255273 	326936 	560623 	698223 	853578 	991330 	1038076 	910215 	803838 	352527 	272897 	232222 	204904 	313984 	468845 	738059 	840135 	940066 	972178 	894754 	790568 	348935 	266787 	246258 	229216 	306090 	534378 	745245 	873571 	1008904 	1063336 	881034 	772630 	370760 	297124 	266901 	245305 	341318 	566410 	761100 	848491 	1042322 	1092384 	938495 	762881 	405956 	319224 	290900 	283688 	416466 	602240 	901195 	1011528 	1218730 	1260117 	1096334 	1007761 	485768 	387090 	364542 	347714 	466747 	780519 	1011924 	1159991 	1361752 	1403953 	1242078 	1129451 	547681 	422561 	387747 	386143 	559023 	847806 	1084157 	1253226 	1413909 	1471489 	1313899 	1165086 	580128 	464488 	421821 	410208 	564040 	864105 	1128899 	1293838 	1434271 	1483105 	1323131 	1194798 	626571 	516623 	459432 	446049 	230760 	6462 	9690 	40640 	197426 	295724 	244498 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2523 	4189 	24626 	1109337 	1131621 	1069663 	928211 	748502 	720838 	644381 	605210 	806423 	844417 	966537 	1138295 	1275469 	1278005 	1185829 	1003575 	776061 	741562 	659019 	623080 	804206 	963037 	1041517 	1227959 	1363682 	1400599 	1303883 	1082521 	848672 	853060 	725607 	736761 	943419 	1028328 	1095342 	1280357 	1419195 	1457509 	1367693 	1155617 	969129 	919184 	778685 	800424 	1016272 	1042433 	1198767 	1384172 	1501406 	1545867 	1411733 	1119218 	832911 	797261 	670859 	640527 	835976 	981167 	1031799 	1234785 	1447315 	1473838 	1291327 	1052787 	854634 	852453 	714916 	685925 	887087 	816449 	1050300 	1203284 	1412454 	1431857 	1316832 	1128032 	824180 	771070 	690029 	657122 	868443 	1048932 	1138954 	1294393 	1479115 	1462876 	1335896 	1096052 	793317 	785403 	691746 	637832 	826374 	936613 	987057 	1194962 	1349272 	1363301 	1267467 	986916 	760685 	740127 	620302 	582934 	811521 	917915 	1030865 	1243394 	1415407 	1434105 	1299130 	1016833 	761934 	757472 	648635 	606615 	810876 	948014 	1037450 	1265173 	1392495 	1429282 	1317820 	1041200 	799675 	782638 	649303 	638120 	821510 	956678 	1092539 	1328075 	1494935 	1506583 	1358210 	1089549 	871581 	864921 	711611 	722370 	907730 	975675 	1103672 	1348177 	1584206 	1573745 	1478105 	1225588 	994899 	1046584 	868566 	849582 	1072321 	1263891 	1341865 	1616177 	1868592 	1863455 	1732354 	1419400 	1163466 	1185885 	973631 	972451 	1227260 	1369253 	1458690 	1821391 	2094469 	2082987 	1879973 	1513421 	1200038 	1244657 	1015592 	1011909 	1269379 	1434249 	1540267 	1925827 	2171017 	2196935 	1993067 	1643154 	1282563 	1348737 	1088657 	1037299 	444914 	4672 	7663 	37395 	272997 	377416 	259224 	120624 	67046 	103465 	: 
M,PAS,PAS_CRD,TOTAL,TOT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6875419 	7211267 	9155753 	9064471 	9894566 	10385954 	11228699 	11532533 	11812954 	11235030 	8356214 	7630393 	7953158 	7776470 	9119146 	9279446 	10011785 	10903388 	11604933 	12564581 	12319460 	12007121 	9299098 	8342819 	8413479 	8730866 	10421204 	10675870 	11924284 	12114425 	13145060 	13734489 	13809926 	13571271 	10196304 	9172686 	9246574 	9033146 	11269127 	11647003 	13009582 	13300644 	14463849 	14608672 	14662276 	14199040 	10778423 	9884143 	9703012 	9424905 	11620184 	12701064 	13782101 	14636619 	15230896 	15184374 	15298559 	14599495 	11277211 	10631657 	10319039 	10167109 	12782401 	13107702 	14375827 	15033807 	16283893 	16215054 	16143437 	15756777 	12284085 	11315762 	10938142 	11200455 	13123291 	13549283 	15249943 	15401855 	16396920 	16121924 	15956330 	15440396 	11603290 	10777017 	9948799 	9854594 	11939720 	12980794 	14016620 	14549896 	15921946 	15721894 	15228687 	15227995 	11694721 	11063163 	10206993 	9985787 	13090984 	10879022 	15144847 	15548468 	17048855 	16905822 	16767396 	16654159 	12665076 	11233424 	11076343 	10698666 	13180168 	14225360 	15900122 	16240836 	17716143 	17188516 	17329109 	16808357 	12923012 	12029444 	11336452 	10968126 	13670984 	14556629 	16071844 	16784744 	18231496 	17775789 	17656529 	17074719 	12771018 	11692773 	10931481 	10770018 	13739551 	14557685 	16546922 	17157093 	18268301 	18264238 	18070485 	17533644 	12975666 	11968104 	11325456 	11091453 	13601984 	15024355 	16813839 	17740470 	18487775 	19425021 	18911048 	18004125 	13594679 	12425609 	11708343 	11562591 	14357887 	15683137 	17893241 	18316734 	19625743 	20255751 	19263574 	18926255 	13470542 	12872632 	12226690 	12384170 	15109267 	15798088 	18101677 	18486171 	20428888 	20280099 	20239799 	19660824 	13971638 	13999982 	13146511 	12849806 	15601985 	17906786 	19100564 	19908381 	21788797 	21571733 	21252374 	20230108 	14971010 	14061288 	13356786 	13253657 	16735521 	17975261 	19904627 	20574997 	22589018 	22462326 	22201917 	21741647 	16110325 	15516279 	14177333 	13965763 	17192573 	19190820 	20253183 	21595042 	22839831 	22756833 	22175455 	21573621 	15703175 	15340457 	14069946 	13659950 	6503935 	265803 	397715 	1323571 	4556602 	5618984 	4300025 	3663114 	1547855 	1888478 	1648149 
